DBN,School Name,School Type,Total Parent Response Rate (%),Total Teacher Response Rate (%),Total Student Response Rate (%),class
02M550,Liberty High School Academy for Newcomers,HST,59,79,93.0,True
02M551,Urban Assembly New York Harbor School,HS,20,89,87.0,True
02M560,High School M560 - City As School,HST,17,92,56.0,False
02M565,Urban Academy Laboratory High School,HST,18,100,68.0,False
02M570,Satellite Academy High School,HST,14,100,75.0,False
02M575,Manhattan Comprehensive Night and Day High School,HST,19,86,78.0,False
02M580,Richard R. Green High School of Teaching,HS,26,95,76.0,True
02M586,Harvey Milk High School,HST,32,100,92.0,False
02M600,The High School of Fashion Industries,HS,27,76,92.0,True
02M605,Humanities Preparatory Academy,HST,42,100,81.0,False
02M615,Chelsea Career and Technical Education High School,HS,29,82,95.0,True
02M620,Norman Thomas High School,HS,20,100,64.0,True
02M625,High School of Graphic Communication Arts,HS,10,68,54.0,True
02M630,Art and Design High School,HS,22,41,54.0,True
02M655,Life Sciences Secondary School,MS/HS,15,62,48.0,True
02M896,Lower Manhattan Community Middle School,MS,36,83,95.0,False
03M009,P.S. 009 Sarah Anderson,ES,79,100,,False
03M054,J.H.S. 054 Booker T. Washington,MS,68,84,97.0,False
03M075,P.S. 075 Emily Dickinson,ES,47,93,,False
03M076,P.S. 076 A. Philip Randolph,ES/MS,61,92,93.0,False
03M084,P.S. 084 Lillian Weber,ES,55,78,,False
03M087,P.S. 087 William Sherman,ES,40,45,,True
03M145,"P.S. 145, The Bloomingdale School",ES,53,78,,True
03M149,P.S. 149 Sojourner Truth,ES/MS,53,73,90.0,True
03M163,P.S. 163 Alfred E. Smith,ES,38,82,,False
03M165,P.S. 165 Robert E. Simon,ES/MS,67,85,90.0,True
03M166,P.S. 166 The Richard Rodgers School of The Arts and Technology,ES,74,90,,False
03M180,P.S. 180 Hugo Newman,ES/MS,65,98,100.0,False
03M185,P.S. 185 - The Early Childhood Discovery and Design Magnet School,ECC,100,100,,False
03M191,P.S. 191 Amsterdam,ES/MS,91,95,98.0,True
03M199,P.S. 199 Jessie Isador Straus,ES,37,34,,False
03M208,P.S. 208 Alain L. Locke,ES,88,100,,True
03M241,STEM Institute of Manhattan,ES,66,82,,True
03M242,P.S. 242 - The Young Diplomats Magnet Academy,ES,43,86,,True
03M243,M.S. 243 Center School,MS,92,100,99.0,False
03M245,M.S. M245 The Computer School,MS,43,96,95.0,False
03M247,M.S. M247 Dual Language Middle School,MS,68,70,99.0,False
03M250,M.S. 250 West Side Collaborative Middle School,MS,64,94,94.0,False
03M256,M.S. 256 Academic & Athletic Excellence,MS,95,94,94.0,True
03M258,Community Action School - MS 258,MS,40,95,96.0,False
03M283,Manhattan Theatre Lab High School,HS,8,71,53.0,True
03M299,"High School for Arts, Imagination and Inquiry",HS,24,100,77.0,True
03M307,"Urban Assembly School for Media Studies, The",HS,23,96,90.0,True
03M333,P.S. 333 Manhattan School for Children,ES/MS,66,69,93.0,False
03M334,The Anderson School,ES/MS,83,93,98.0,False
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,HS,21,94,57.0,True
03M403,THE GLOBAL LEARNING COLLABORATIVE,HS,18,74,77.0,False
03M404,INNOVATION DIPLOMA PLUS,HST,49,100,47.0,False
03M415,Wadleigh Secondary School for the Performing & Visual Arts,MS/HS,45,85,60.0,True
03M417,FRANK McCOURT HIGH SCHOOL,HS,43,96,96.0,True
03M421,WEST PREP ACADEMY,MS,92,93,96.0,False
03M452,P.S. 452,ECC,76,100,,False
03M479,Beacon High School,HS,34,84,83.0,False
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,HS,36,50,89.0,True
07X030,P.S. 030 Wilton,ES,97,81,,False
03M492,"High School for Law, Advocacy and Community Justice",HS,68,93,79.0,True
03M494,High School of Arts and Technology,HS,31,68,69.0,True
03M505,Edward A. Reynolds West Side High School,HST,12,93,46.0,False
03M541,Manhattan / Hunter Science High School,HS,30,93,87.0,False
03M859,Special Music School,ES/MS,76,100,100.0,False
03M860,Frederick Douglass Academy II Secondary School,MS/HS,20,86,80.0,True
03M862,Mott Hall II,MS,87,68,98.0,False
04M007,P.S. 007 Samuel Stern,ES/MS,50,77,95.0,True
04M012,Tag Young Scholars,ES/MS,88,100,99.0,False
04M013,J.H.S. 013 Jackie Robinson,MS,10,91,1.0,True
04M037,River East Elementary,ES,85,96,,False
04M038,P.S. 38 Roberto Clemente,ES,39,93,,True
04M045,M.S. 45/S.T.A.R.S. Prep Academy,MS,47,94,99.0,False
04M050,P.S. 050 Vito Marcantonio,ES/MS,34,89,92.0,True
04M057,James Weldon Johnson,ES/MS,45,90,93.0,False
04M072,The Lexington Academy,ES,68,92,,False
04M083,P.S. 083 Luis Munoz Rivera,ES,73,100,,False
04M096,P.S. 096 Joseph Lanzetta,ES/MS,57,80,92.0,True
04M102,P.S. 102 Jacques Cartier,ES,87,97,,False
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,ES/MS,66,90,94.0,False
04M112,P.S. 112 Jose Celso Barbosa,ECC,89,98,,False
04M146,P.S. 146 Ann M. Short,ES,45,87,,False
04M155,P.S. 155 William Paca,ES,79,97,,True
04M171,P.S. 171 Patrick Henry,ES/MS,100,96,98.0,False
04M182,The Bilingual Bicultural School,ES,83,80,,False
04M206,P.S. 206 Jose Celso Barbosa,ES/MS,86,100,100.0,False
04M224,M.S. 224 Manhattan East School for Arts & Academics,MS,46,81,96.0,False
04M372,ESPERANZA PREPARATORY ACADEMY,MS/HS,79,100,98.0,False
04M375,Mosaic Preparatory Academy,ES,80,96,,False
04M377,Renaissance School of the Arts,MS,92,80,98.0,False
04M381,Global Neighborhood Secondary School,MS,61,100,97.0,False
04M406,GLOBAL TECHNOLOGY PREPARATORY,MS,37,100,95.0,False
04M409,Coalition School for Social Change,HS,16,93,73.0,True
04M435,Manhattan Center for Science and Mathematics,HS,43,91,90.0,True
04M495,Park East High School,HS,81,100,90.0,False
04M497,Central Park East I,ES,70,93,,False
04M555,Central Park East High School,HS,20,100,92.0,False
04M610,Young Women's Leadership School,MS/HS,63,100,93.0,False
04M635,Academy of Environmental Science Secondary High School,HS,87,100,94.0,True
04M680,"Heritage School, The",HS,68,100,91.0,True
04M825,Isaac Newton Middle School for Math & Science,MS,22,96,97.0,False
04M964,Central Park East II,ES,72,90,,False
05M030,P.S. 030 Hernandez/Hughes,ES,83,100,,False
05M036,P.S. 036 Margaret Douglas,ES,79,78,,False
05M046,P.S. 046 Arthur Tappan,ES/MS,72,88,87.0,True
05M092,P.S. 092 Mary McLeod Bethune,ES,100,100,,False
05M123,P.S. 123 Mahalia Jackson,ES/MS,32,62,74.0,True
05M125,P.S. 125 Ralph Bunche,ES,67,96,,False
05M129,P.S. 129 John H. Finley,ES/MS,22,50,78.0,True
05M133,P.S. 133 Fred R Moore,ES,69,85,,False
05M154,P.S. 154 Harriet Tubman,ES,73,82,,True
05M161,P.S. 161 Pedro Albizu Campos,ES/MS,48,81,90.0,True
05M175,P.S. 175 Henry H Garnet,ES,66,85,,True
05M194,P.S. 194 Countee Cullen,ES,69,79,,True
05M195,I.S. 195 Roberto Clemente,MS,70,59,77.0,True
05M197,P.S. 197 John B. Russwurm,ES,58,66,,False
05M200,P.S. 200- The James Mccune Smith School,ES,68,82,,True
05M285,Harlem Renaissance High School,HST,21,100,69.0,False
05M286,I.S. M286 Renaissance Leadership Academy,MS,64,64,94.0,False
05M302,KAPPA IV,MS,49,57,98.0,True
05M304,Mott Hall High School,HS,82,100,97.0,True
05M318,Thurgood Marshall Academy Lower School,ES,74,80,,False
05M362,Columbia Secondary School,MS/HS,26,57,76.0,True
05M367,Academy for Social Action: A College Board School,MS/HS,18,63,50.0,True
05M369,Urban Assembly School for the Performing Arts,HS,15,72,52.0,True
05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,MS,50,100,89.0,False
05M469,Choir Academy of Harlem,MS/HS,27,96,81.0,True
05M499,Frederick Douglass Academy,MS/HS,8,52,77.0,True
05M514,New Design Middle School,MS,24,88,76.0,False
05M517,Teachers College Community School,ECC,82,100,,False
05M670,Thurgood Marshall Academy for Learning and Social Change,MS/HS,33,71,70.0,True
05M685,Bread & Roses Integrated Arts High School,HS,27,89,79.0,True
05M692,"High School for Mathematics, Science and Engineering at City College",HS,36,91,84.0,False
06M004,P.S. 004 Duke Ellington,ES,32,85,,False
06M005,P.S. 005 Ellen Lurie,ES,78,86,,False
06M008,P.S. 008 Luis Belliard,ES,84,98,,False
06M018,P.S. 018 Park Terrace,ES/MS,76,94,100.0,False
06M028,P.S. 028 Wright Brothers,ES,80,100,,False
06M048,P.S. 048 P.O. Michael J. Buczek,ES,62,77,,False
06M052,J.H.S. 052 Inwood,MS,63,78,98.0,False
06M098,P.S. 098 Shorac Kappock,ES,46,96,,True
06M115,P.S. 115 Alexander Humboldt,ES,79,85,,False
06M128,P.S. 128 Audubon,ES,57,86,,False
06M132,P.S. 132 Juan Pablo Duarte,ES,62,89,,True
06M143,J.H.S. 143 Eleanor Roosevelt,MS,86,95,98.0,True
06M152,P.S. 152 Dyckman Valley,ES,80,67,,True
06M153,P.S. 153 Adam Clayton Powell,ES,87,92,,False
06M173,P.S. 173,ES,69,48,,True
06M178,Professor Juan Bosch Public School,ECC,100,93,,False
06M187,P.S./I.S. 187 Hudson Cliffs,ES/MS,79,88,99.0,True
06M189,P.S. 189,ES,60,90,,False
06M192,P.S. 192 Jacob H. Schiff,ES,55,82,,False
06M210,P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,ES/MS,70,95,99.0,False
06M218,I.S. 218 Salome Urena,MS,66,61,87.0,True
06M223,The Mott Hall School,MS,75,95,99.0,True
06M278,PS/MS 278-Paula Hedbavny School,ES/MS,93,100,100.0,False
06M293,City College Academy of the Arts,MS/HS,44,66,90.0,False
06M311,Amistad Dual Language School,ES/MS,65,94,100.0,False
06M314,Muscota,ES,56,100,,False
06M319,M.S. 319 - Maria Teresa,MS,97,89,98.0,False
06M322,Middle School 322,MS,100,95,95.0,False
06M324,M.S. 324 - Patria Mirabal,MS,95,97,99.0,False
06M325,P.S. 325,ES,84,70,,True
06M326,M.S. 326 - Writers Today & Leaders Tomorrow,MS,29,64,86.0,True
06M328,M.S. 328 - Manhattan Middle School for Scientific Inquiry,MS,84,100,87.0,False
06M346,Community Health Academy of the Heights,MS/HS,68,91,88.0,False
06M348,Washington Heights Expeditionary Learning School,MS/HS,49,83,90.0,False
06M349,Harbor Heights,MS,100,92,100.0,False
06M366,Washington Heights Academy,ES,81,73,,False
06M368,Hamilton Heights School,ES,77,76,,True
06M423,High School for Excellence and Innovation,HST,61,100,77.0,False
06M457,George Washington Yabc,YABC,23,50,78.0,False
06M462,The College Academy,HS,52,97,78.0,True
06M463,High School for Media and Communications,HS,45,83,72.0,True
06M467,High School for Law and Public Service,HS,41,86,72.0,True
06M468,High School for Health Careers and Sciences,HS,42,100,84.0,True
06M513,Castle Bridge School,ECC,76,100,,False
06M528,I.S. 528 Bea Fuller Rodgers School,MS,80,89,98.0,False
06M540,A. Philip Randolph Campus High School,HS,15,94,25.0,False
06M552,Gregorio Luperon High School for Science and Mathematics,HS,51,74,94.0,False
07X001,P.S. 001 Courtlandt School,ES,85,89,,False
07X005,PS 5 Port Morris,ES,44,87,90.0,False
07X018,P.S. 018 John Peter Zenger,ES,100,82,,True
07X025,P.S. 025 Bilingual School,ES,45,82,,False
07X029,P.S./M.S. 029 Melrose School,ES/MS,62,92,91.0,False
07X031,P.S./M.S. 031 The William Lloyd Garrison,ES/MS,47,98,98.0,False
07X043,P.S. 043 Jonas Bronck,ES,70,97,,False
07X049,P.S. 049 Willis Avenue,ES,71,57,,True
07X065,P.S. 065 Mother Hale Academy,ES,100,93,,False
07X151,J.H.S. 151 Lou Gehrig,MS,55,100,94.0,True
07X154,P.S. 154 Jonathan D. Hyatt,ES,50,96,,True
07X157,P.S. 157 Grove Hill,ES,49,64,,False
07X161,P.S. 161 Ponce De Leon,ES,42,91,,False
07X162,J.H.S. 162 Lola Rodriguez De Tio,MS,51,95,91.0,True
07X179,P.S. 179,ES,52,81,,False
07X203,M.S. 203,MS,65,96,97.0,True
07X221,South Bronx Preparatory: A College Board School,MS/HS,69,80,97.0,True
07X223,M.S. 223 The Laboratory School of Finance and Technology,MS,61,97,98.0,False
07X224,P.S. / I.S. 224,MS,70,96,80.0,True
07X277,P.S. 277,ES,60,49,,False
07X296,South Bronx Academy for Applied Media,MS,53,100,75.0,True
07X298,Academy of Public Relations,MS,86,60,99.0,False
07X321,Crotona Academy High School,HST,50,91,82.0,False
07X334,International Community High School,HS,46,96,88.0,True
07X343,Academy of Applied Mathematics and Technology,MS,47,90,97.0,False
07X369,Young Leaders Elementary School,ES,66,73,,True
07X379,Jill Chaifetz Transfer High School,HST,27,100,65.0,False
07X381,Bronx Haven High School,HST,16,75,73.0,False
07X385,Performance School,ES,73,98,,True
07X427,Community School for Social Justice,HS,46,100,93.0,False
07X456,Alfred E. Smith Campus YABC,YABC,23,65,42.0,False
07X473,Mott Haven Village Preparatory High School,HS,31,100,84.0,True
07X495,University Heights Secondary School,HS,63,90,84.0,False
07X500,Hostos-Lincoln Academy of Science,MS/HS,14,69,88.0,True
07X520,Foreign Language Academy of Global Studies,HS,33,90,89.0,True
07X522,Bronx Design and Construction Academy,HS,37,48,51.0,False
07X527,Bronx Leadership Academy II High School,HS,26,69,60.0,True
07X547,New Explorers High School,HS,23,81,57.0,True
07X548,Urban Assembly School for Careers in Sports,HS,24,100,77.0,False
07X551,The Urban Assembly Bronx Academy of Letters,MS/HS,39,96,87.0,True
07X557,Mott Haven Community High School,HST,5,100,68.0,True
07X600,Alfred E. Smith Career and Technical Education High School,HS,42,72,87.0,True
08X405,Herbert H. Lehman High School,HS,12,74,71.0,True
07X655,Samuel Gompers Career and Technical Education High School,HS,15,71,54.0,True
07X670,Health Opportunities High School,HS,84,100,72.0,True
08X014,P.S. X014 Senator John Calandra,ES,87,93,,False
08X036,P.S. 036 Unionport,ES,69,81,,False
08X048,P.S. 048 Joseph R. Drake,ES,53,97,,True
08X062,P.S. 062 Inocensio Casanova,ES,63,72,,False
08X069,P.S. 069 Journey Prep School,ES,63,68,,False
08X071,P.S. 071 Rose E. Scala,ES/MS,43,92,95.0,False
08X072,P.S. 072 Dr. William Dorney,ES,58,100,,False
08X075,P.S. 075,ES,77,96,,True
08X093,P.S. 093 Albert G. Oliver,ES,100,74,,False
08X100,P.S. 100 Isaac Clason,ES,42,78,,True
08X101,M.S. X101 Edward R. Byrne,MS,79,91,100.0,False
08X107,P.S. 107,ES,84,92,,True
08X119,P.S. 119,ES,65,77,,False
08X123,J.H.S. 123 James M. Kieran,MS,47,92,90.0,True
08X125,J.H.S. 125 Henry Hudson,MS,36,88,87.0,True
08X130,P.S. 130 Abram Stevens Hewitt,ES,89,100,,False
08X131,J.H.S. 131 Albert Einstein,MS,49,90,90.0,False
08X138,P.S. 138 Samuel Randall,ES,54,83,,False
08X140,P.S. X140 The Eagle School,ES,51,98,,False
08X146,P.S. 146 Edward Collins,ES,71,94,,False
08X152,P.S. 152 Evergreen,ES,19,58,,False
08X182,P.S. 182,ES,34,90,,True
08X269,Bronx Studio School for Writers and Artists,MS/HS,29,65,76.0,True
08X282,Women's Academy of Excellence,HS,13,68,87.0,True
08X293,Renaissance High School for Musical Theater & Technology,HS,21,88,86.0,False
08X295,Gateway School for Environmental Research and Technology,HS,30,73,67.0,True
08X301,M.S. 301 Paul L. Dunbar,MS,9,87,36.0,True
08X302,M.S. 302 Luisa Dessus Cruz,MS,50,81,97.0,True
08X304,P.S. 304 Early Childhood School,ES,75,100,,False
08X305,Pablo Neruda Academy for Architecture and World Studies,HS,44,97,86.0,True
08X312,Millennium Art Academy,HS,21,85,71.0,True
08X332,Holcombe L. Rucker School of Community Research,HS,78,92,74.0,True
08X333,P.S. 333 - The Museum School,ES,43,88,,False
08X335,The Academy of the Arts,ES,56,47,,False
08X337,The School for Inquiry and Social Justice,MS,65,96,98.0,False
08X366,Urban Assembly Academy of Civic Engagement,MS,39,64,87.0,False
08X367,"Archimedes Academy for Math, Science and Technology Applications",MS/HS,19,39,74.0,True
08X371,Urban Institute of Mathematics,MS,47,64,93.0,False
08X375,The Bronx Mathematics Preparatory School,MS,66,81,94.0,True
08X376,Antonia Pantoja Preparatory Academy: A College Board School,MS/HS,38,47,71.0,True
08X377,Bronx Community High School,HST,15,76,54.0,False
75M226,P.S. M226,D75,36,59,95.0,False
08X408,Herbert H. Lehman Yabc,YABC,90,100,79.0,False
08X424,The Hunts Point School,MS,55,85,89.0,True
08X432,BRONX BRIDGES HIGH SCHOOL,HS,20,60,80.0,True
08X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,MS,98,100,98.0,False
08X452,Bronx Guild,HS,35,100,91.0,True
08X467,MOTT HALL COMMUNITY SCHOOL,MS,49,86,97.0,True
08X507,Stevenson Yabc,YABC,43,84,69.0,False
08X519,"Felisa Rincon de Gautier Institute for Law and Public Policy, The",HS,28,92,67.0,True
08X530,Banana Kelly High School,HS,60,65,82.0,True
08X537,Bronx Arena High School,HST,4,81,38.0,False
08X540,School for Community Research and Learning,HS,23,86,64.0,True
08X558,Westchester Square Academy,HS,29,100,65.0,False
08X559,School for Tourism and Hospitality,HS,71,80,88.0,True
08X560,Bronx Academy High School,HST,13,100,92.0,False
08X561,Bronx Compass High School,HS,27,78,60.0,False
08X562,Blueprint Middle School,MS,49,71,95.0,False
08X650,Jane Addams High School for Academic Careers,HS,6,58,60.0,True
09X004,P.S./M.S. 004 Crotona Park West,ES/MS,100,95,97.0,True
09X011,P.S. 011 Highbridge,ES,67,61,,False
09X022,J.H.S. 022 Jordan L. Mott,MS,12,47,82.0,True
09X028,P.S. 028 Mount Hope,ES,62,75,,False
09X035,P.S. 035 Franz Siegel,ES,80,55,,False
09X042,P.S. 042 Claremont,ES,62,48,,True
09X053,P.S. 053 Basheer Quisim,ES,44,87,,True
09X055,P.S. 055 Benjamin Franklin,ES,60,78,,False
09X058,P.S. 058,ES,79,92,,True
09X063,P.S. 063 Author's Academy,ES,67,100,,False
09X064,P.S. 064 Pura Belpre,ES,42,63,,True
09X070,P.S. 070 Max Schoenfeld,ES,51,79,,True
09X073,P.S. 073 Bronx,ES,54,81,,True
09X088,P.S. X088 - S. Silverstein Little Sparrow School,ECC,28,47,,False
09X109,P.S. 109 Sedgwick,ES,87,91,,False
09X110,P.S. 110 Theodore Schoenfeld,ES,49,86,,True
09X114,P.S. X114 - Luis Llorens Torres Schools,ES,66,82,,True
09X117,I.S. 117 Joseph H. Wade,MS,31,96,93.0,True
09X126,P.S. 126 Dr Marjorie H Dunbar,ES,50,78,97.0,True
09X128,Mott Hall III,MS,74,100,95.0,False
09X132,P.S. 132 Garret A. Morgan,ES,64,75,,True
09X145,J.H.S. 145 Arturo Toscanini,MS,76,80,95.0,False
09X163,P.S. 163 Arthur A. Schomburg,ES,56,35,,True
09X170,P.S. 170,ECC,98,96,,False
09X199,P.S. 199X - The Shakespeare School,ES,66,90,,True
09X204,P.S. 204 Morris Heights,ES,75,100,,False
09X215,Kappa,MS,87,93,100.0,True
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,ES/MS,75,88,96.0,True
09X219,I.S. 219 New Venture School,MS,40,56,94.0,True
09X227,Bronx Collegiate Academy,HS,42,97,80.0,False
09X229,I.S. 229 Roland Patterson,MS,82,90,82.0,True
09X230,P.S. 230 Dr Roland N. Patterson,ES,32,93,,False
09X231,Eagle Academy for Young Men,MS/HS,37,69,90.0,True
09X232,I.S. 232,MS,90,94,97.0,False
09X236,P.S. 236 Langston Hughes,ECC,63,89,,False
